h_1;h_3;h_6;h_9;h_12;h_24
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
5.6;5.6;5.6;5.6;5.6;5.6
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.8;5.8;5.8;5.8;5.8;5.8
5.3;5.3;5.3;5.3;5.3;5.3
5.2;5.2;5.2;5.2;5.2;5.2
4.8;4.8;4.8;4.8;4.8;4.8
5.4;5.4;5.4;5.4;5.4;5.4
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
6.1;6.1;6.1;6.1;6.1;6.1
6.1;6.1;6.1;6.1;6.1;6.1
6.6;6.6;6.6;6.6;6.6;6.6
6.6;6.6;6.6;6.6;6.6;6.6
6.9;6.9;6.9;6.9;6.9;6.9
6.9;6.9;6.9;6.9;6.9;6.9
7;7;7;7;7;7
7.1;7.1;7.1;7.1;7.1;7.1
6.9;6.9;6.9;6.9;6.9;6.9
7;7;7;7;7;7
6.6;6.6;6.6;6.6;6.6;6.6
6.7;6.7;6.7;6.7;6.7;6.7
6.5;6.5;6.5;6.5;6.5;6.5
6.1;6.1;6.1;6.1;6.1;6.1
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.4;5.4;5.4;5.4;5.4;5.4
5.7;5.7;5.7;5.7;5.7;5.7
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.7;5.7;5.7;5.7;5.7;5.7
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.9;5.9;5.9;5.9;5.9;5.9
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.9;5.9;5.9;5.9;5.9;5.9
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.7;5.7;5.7;5.7;5.7;5.7
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.4;5.4;5.4;5.4;5.4;5.4
5.4;5.4;5.4;5.4;5.4;5.4
5.3;5.3;5.3;5.3;5.3;5.3
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
4.8;4.8;4.8;4.8;4.8;4.8
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
5.1;5.1;5.1;5.1;5.1;5.1
4.7;4.7;4.7;4.7;4.7;4.7
4.8;4.8;4.8;4.8;4.8;4.8
4.6;4.6;4.6;4.6;4.6;4.6
4.6;4.6;4.6;4.6;4.6;4.6
4.4;4.4;4.4;4.4;4.4;4.4
4.4;4.4;4.4;4.4;4.4;4.4
4.3;4.3;4.3;4.3;4.3;4.3
4.2;4.2;4.2;4.2;4.2;4.2
4.1;4.1;4.1;4.1;4.1;4.1
4;4;4;4;4;4
4;4;4;4;4;4
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.6;3.6;3.6;3.6;3.6;3.6
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
3.8;3.8;3.8;3.8;3.8;3.8
4;4;4;4;4;4
3.9;3.9;3.9;3.9;3.9;3.9
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.8;3.8;3.8;3.8;3.8;3.8
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.4;3.4;3.4;3.4;3.4;3.4
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.7;3.7;3.7;3.7;3.7;3.7
3.7;3.7;3.7;3.7;3.7;3.7
3.5;3.5;3.5;3.5;3.5;3.5
3.5;3.5;3.5;3.5;3.5;3.5
3.9;3.9;3.9;3.9;3.9;3.9
4.2;4.2;4.2;4.2;4.2;4.2
4.4;4.4;4.4;4.4;4.4;4.4
4.6;4.6;4.6;4.6;4.6;4.6
4.8;4.8;4.8;4.8;4.8;4.8
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.9;5.9;5.9;5.9;5.9;5.9
6.1;6.1;6.1;6.1;6.1;6.1
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
5.9;5.9;5.9;5.9;5.9;5.9
6;6;6;6;6;6
6.1;6.1;6.1;6.1;6.1;6.1
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
6;6;6;6;6;6
6;6;6;6;6;6
5.8;5.8;5.8;5.8;5.8;5.8
5.7;5.7;5.7;5.7;5.7;5.7
5.8;5.8;5.8;5.8;5.8;5.8
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.7;5.7;5.7;5.7;5.7;5.7
5.6;5.6;5.6;5.6;5.6;5.6
5.6;5.6;5.6;5.6;5.6;5.6
5.5;5.5;5.5;5.5;5.5;5.5
5.6;5.6;5.6;5.6;5.6;5.6
5.3;5.3;5.3;5.3;5.3;5.3
5.2;5.2;5.2;5.2;5.2;5.2
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
5;5;5;5;5;5
4.9;4.9;4.9;4.9;4.9;4.9
4.9;4.9;4.9;4.9;4.9;4.9
4.8;4.8;4.8;4.8;4.8;4.8
4.8;4.8;4.8;4.8;4.8;4.8
4.8;4.8;4.8;4.8;4.8;4.8
4.6;4.6;4.6;4.6;4.6;4.6
4.8;4.8;4.8;4.8;4.8;4.8
4.9;4.9;4.9;4.9;4.9;4.9
5.1;5.1;5.1;5.1;5.1;5.1
5.2;5.2;5.2;5.2;5.2;5.2
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
5.1;5.1;5.1;5.1;5.1;5.1
5.4;5.4;5.4;5.4;5.4;5.4
5.5;5.5;5.5;5.5;5.5;5.5
5.5;5.5;5.5;5.5;5.5;5.5
5.9;5.9;5.9;5.9;5.9;5.9
