"ID";"BedrijfstakkenBranchesSBI2008";"Perioden";"Producentenvertrouwen_1"
"0";"307500";"1985MM01";"     0.0"
"1";"307500";"1985MM02";"     4.9"
"2";"307500";"1985MM03";"     5.1"
"3";"307500";"1985MM04";"     0.9"
"4";"307500";"1985MM05";"     1.3"
"5";"307500";"1985MM06";"     2.3"
"6";"307500";"1985MM07";"     1.0"
"7";"307500";"1985MM08";"     1.2"
"8";"307500";"1985MM09";"     0.4"
"9";"307500";"1985MM10";"    -0.2"
"10";"307500";"1985MM11";"     0.4"
"11";"307500";"1985MM12";"    -1.5"
"12";"307500";"1986MM01";"     2.4"
"13";"307500";"1986MM02";"    -0.1"
"14";"307500";"1986MM03";"    -1.2"
"15";"307500";"1986MM04";"    -2.6"
"16";"307500";"1986MM05";"    -1.4"
"17";"307500";"1986MM06";"    -1.4"
"18";"307500";"1986MM07";"    -0.3"
"19";"307500";"1986MM08";"    -1.6"
"20";"307500";"1986MM09";"    -3.0"
"21";"307500";"1986MM10";"    -2.2"
"22";"307500";"1986MM11";"    -1.7"
"23";"307500";"1986MM12";"    -1.8"
"24";"307500";"1987MM01";"    -2.9"
"25";"307500";"1987MM02";"    -1.7"
"26";"307500";"1987MM03";"    -2.5"
"27";"307500";"1987MM04";"    -3.8"
"28";"307500";"1987MM05";"    -3.7"
"29";"307500";"1987MM06";"    -3.5"
"30";"307500";"1987MM07";"    -1.9"
"31";"307500";"1987MM08";"    -2.4"
"32";"307500";"1987MM09";"    -1.0"
"33";"307500";"1987MM10";"    -0.2"
"34";"307500";"1987MM11";"    -0.1"
"35";"307500";"1987MM12";"    -1.5"
"36";"307500";"1988MM01";"    -1.9"
"37";"307500";"1988MM02";"    -1.7"
"38";"307500";"1988MM03";"    -1.6"
"39";"307500";"1988MM04";"    -0.2"
"40";"307500";"1988MM05";"     0.1"
"41";"307500";"1988MM06";"     0.4"
"42";"307500";"1988MM07";"     1.9"
"43";"307500";"1988MM08";"     2.4"
"44";"307500";"1988MM09";"     1.6"
