"buildpermits","faillisementen","dax","cac40","ftse","sp500","fin_stress","GAS_EU","OIL_BRENT","GOLD","Short_interest","Long_interest"
"85","-57","-0.081449126410515","0.0368384113489908","-0.066441366936929","-0.0272552123830891","0.0417","0","-1.7","-18.82","-0.23","8.89"
"-116","48","0.0130316986505408","0.0293784672926174","0.108773049878955","0.0880009787379112","0.0411","0","-0.0500000000000007","-5.19","-0.0899999999999999","8.95"
"220","-34","0.0257877561401019","-0.0347693159274938","0.0125009568199639","-0.0089260849102093","0.0666","0","-1","-16.72","-0.120000000000001","8.96"
"251","-8","0.0200921243517271","-0.0350035735733334","-0.02059302944261","-0.00523684678881509","0.0481","0","1.85","10.2","-0.0899999999999999","8.74"
"-942","-6","-0.170178759891551","-0.150763716386242","-0.0728323128302311","-0.099062815412772","0.1116","0","9.5","32.2","0.27","8.99"
"373","51","-0.200007151428116","-0.119930309814522","-0.0831685894374159","-0.0525407104627691","0.0732","0","7.05","-5.41000000000003","-0.0299999999999994","9.16"
"197","10","0.0771573807998784","0.0929421650968747","0.0297510360573323","-0.00672074600511419","0.0515","0","1.95","-8.57999999999998","0","9.19"
"-256","-28","0.00144193377213409","-0.0246166276353561","0.0472025402687475","0.0582068444450341","0.037","0","-3.05","0.990000000000009","0.31","9.13"
"-425","-92","-0.03342229561345","-0.061676576796267","-0.00274868093482894","0.0245245568490668","0.04","0","-5","-4.78000000000003","0.58","9.06"
"195","113","0.022637468865419","0.0459776672531635","0.0124254222872375","0.0406790242987478","0.0633","0.62","-4.35","6.69","0.0199999999999996","9.15"
"-211","-5","0.0960608297394385","0.107888962011184","0.092613097103059","0.0651144585157759","0.0513","-0.0299999999999998","-4.25","-19.81","-0.32","8.64"
"126","18","-0.0319076910594571","0.031322471129041","0.0312590461803746","0.021959938353918","0.04","-0.0800000000000001","0.0500000000000007","-0.490000000000009","0.0300000000000011","8.66"
"136","-47","0.0586615821484537","-0.0205848714954033","0.0120178481092506","0.000319748237583184","0.0936","0.14","-0.199999999999999","-4.95999999999998","0.0599999999999987","8.57"
"233","53","0.0610114687623184","0.0454923793351707","0.00533529113567166","0.0378784401054393","0.039","-0.1","0.0500000000000007","-1.43000000000001","-0.0599999999999987","8.59"
