"","pub_date","L2_LRHUTTTT","L1_BCCI","L1_BRCI","L1_BSCI","L1_CSCICP02","L3_XTEXVA01","L3_XTIMVA01","L1_AEX","L1_AEXVLT"
"1",1986-02-15,8,-11.5,31.9,-1.6,1.9,2.66453121903019,2.63098200452646,5.34706303079997,0.0160814268859959
"2",1986-03-15,7.9,-8.9,28.5,-4.2,1.5,2.66579363304869,2.56745533659469,5.28356936124454,0.00795303070814309
"3",1986-04-15,7.8,-1.6,29,-4.5,3,2.66577805280112,2.58915708812478,5.36910940456021,0.00968018838420398
"4",1986-05-15,7.8,5,29.7,-6.3,0.6,2.67106314317922,2.52378058816563,5.34703671910005,0.0115140357343949
"5",1986-06-15,7.7,5,32.4,-6.1,3.4,2.55342005709801,2.53289316817873,5.3959510006199,0.0174248645563316
"6",1986-07-15,7.6,5.9,29.6,-4.9,4,2.65061420795973,2.56623971767549,5.37984484358676,0.00567004557392208
"7",1986-08-15,7.6,-3.5,28.6,-4.9,2.6,2.5768806661155,2.48534416838297,5.34978842458933,0.00805958957642974
"8",1986-09-15,7.6,-1.1,32,-5.1,2.2,2.58632404618493,2.50053476203365,5.35960226878697,0.0120098051857464
"9",1986-10-15,7.5,-3.6,32.3,-6.7,0.3,2.58986493364677,2.4904843483485,5.31164527420252,0.0137046396452587
"10",1986-11-15,7.5,-6,29,-5.4,1,2.50744625323808,2.45364853685404,5.31563090173279,0.0108864999927471
"11",1986-12-15,7.5,-9,29,-3.8,0.7,2.55970701682889,2.48203615016279,5.33961586318401,0.00800855852333931
"12",1987-01-15,7.4,-6.7,33.9,-4.7,0.9,2.49462146329769,2.46836634543974,5.30479059045824,0.00729052142338764
"13",1987-02-15,7.4,-7,27.6,-6.8,-0.2,2.47719291499189,2.47348624489476,5.24606819687529,0.0132662657250054
"14",1987-03-15,7.4,-2.4,29.2,-5.7,0.4,2.48252394040196,2.50986407937733,5.2395577019108,0.00710331024199595
